ASTM,BM_25_16,BM_25_19,BM_25_22,BM_20_16,BM_20_19,BM_20_22,BM_15_16,BM_15_19,BM_15_22,POT_3_16,POT_3_19,POT_3_22,POT_8_16,POT_8_19,POT_8_22
22.18,3.60,3.60,3.60,4.55,3.60,7.72,9.59,7.72,7.72,3.60,3.60,3.60,8.05,8.21,8.05
29.03,4.55,4.11,7.00,6.44,4.11,9.34,19.26,7.72,9.34,3.60,3.60,3.60,8.21,8.37,8.25
30.73,6.03,6.13,7.57,6.64,7.47,11.24,12.58,8.37,11.39,3.60,3.60,3.60,8.44,8.44,8.25
33.98,6.44,6.34,8.80,7.29,7.55,12.30,12.32,8.67,12.30,3.60,3.60,3.60,8.52,8.60,8.44
35.00,6.64,6.83,9.34,7.72,7.72,13.17,29.12,8.89,13.47,3.60,3.60,3.60,8.75,8.60,8.44
37.24,6.83,7.11,10.47,7.81,8.37,13.47,23.36,9.53,14.28,3.60,3.60,3.60,8.89,8.67,8.50
37.43,7.20,7.47,10.83,9.25,8.67,13.51,10.74,9.99,14.91,3.60,3.60,3.60,8.97,8.89,8.54
37.43,7.72,7.55,12.30,9.59,9.53,14.28,9.73,12.42,15.26,3.60,3.60,3.60,9.25,9.32,8.67
40.29,7.81,7.72,13.47,9.73,9.99,14.49,8.89,13.03,17.80,3.60,3.60,3.69,9.59,9.39,8.76
44.79,8.52,8.37,13.51,10.56,12.42,14.91,16.50,16.70,24.29,3.60,3.60,3.69,9.66,9.53,8.80
44.82,8.89,8.60,14.20,10.74,12.83,17.80,10.56,17.12,24.80,3.60,3.60,3.69,9.73,9.99,8.82
46.53,9.25,8.89,14.21,10.74,13.03,23.96,7.29,19.95,32.42,3.60,3.60,3.73,9.93,10.12,9.06
48.55,9.59,9.39,14.28,11.33,13.18,24.29,11.33,22.28,42.00,3.60,3.60,3.73,10.56,10.74,9.29
49.15,9.66,9.99,14.49,12.32,16.70,24.80,9.25,25.51,62.22,3.60,3.60,3.73,10.62,12.42,9.34
52.46,9.73,12.42,14.91,12.58,17.12,32.42,13.13,37.14,105.22,3.60,3.60,3.73,10.74,12.52,9.48
59.83,10.56,12.83,16.85,13.13,19.66,38.60,,,,3.60,3.78,3.78,10.74,12.68,9.66
62.21,10.62,13.03,17.80,16.50,19.95,38.78,,,,3.60,3.78,3.78,11.33,12.83,9.71
64.32,10.74,13.57,24.29,19.26,22.28,42.00,,,,3.60,3.78,3.78,12.32,13.03,10.25
66.13,10.74,16.70,24.80,23.36,25.51,62.22,,,,3.60,3.78,3.78,12.58,13.18,10.47
70.87,11.33,17.12,32.42,29.12,37.14,105.22,,,,3.78,3.78,3.78,13.13,13.42,10.51
73.48,13.13,19.66,36.95,,,,,,,3.78,3.78,3.78,16.50,13.57,10.57
78.91,16.50,19.95,38.60,,,,,,,3.78,3.78,3.78,19.26,16.14,10.80
82.39,19.26,22.28,42.00,,,,,,,3.78,3.94,3.78,23.36,16.70,10.83
94.28,23.36,25.51,62.22,,,,,,,3.78,3.94,3.78,29.12,17.12,10.97
,29.12,37.14,105.22,,,,,,,3.78,3.94,3.82,,19.66,11.05
,,,,,,,,,,3.78,3.94,3.82,,19.95,11.07
,,,,,,,,,,3.78,3.94,3.82,,22.28,11.24
,,,,,,,,,,3.78,3.94,3.86,,25.51,11.31
,,,,,,,,,,3.78,4.11,3.90,,37.14,11.39
,,,,,,,,,,3.78,4.11,3.90,,,11.81
,,,,,,,,,,3.78,4.11,3.94,,,12.26
,,,,,,,,,,3.78,4.11,3.94,,,12.30
,,,,,,,,,,3.78,4.11,3.94,,,13.16
,,,,,,,,,,3.78,4.11,3.99,,,13.16
,,,,,,,,,,3.78,4.11,3.99,,,13.17
,,,,,,,,,,3.78,4.11,3.99,,,13.47
,,,,,,,,,,3.78,4.11,3.99,,,13.51
,,,,,,,,,,3.78,4.11,4.03,,,14.20
,,,,,,,,,,3.78,4.26,4.03,,,14.21
,,,,,,,,,,3.78,4.26,4.03,,,14.28
,,,,,,,,,,3.94,4.41,4.03,,,14.49
,,,,,,,,,,3.94,4.41,4.07,,,14.91
,,,,,,,,,,3.94,4.41,4.07,,,15.26
,,,,,,,,,,3.94,4.41,4.07,,,15.94
,,,,,,,,,,3.94,4.41,4.11,,,16.51
,,,,,,,,,,3.94,4.41,4.11,,,16.85
,,,,,,,,,,3.94,4.55,4.11,,,17.74
,,,,,,,,,,3.94,4.55,4.14,,,17.80
,,,,,,,,,,3.94,4.55,4.14,,,18.82
,,,,,,,,,,3.94,4.55,4.14,,,20.88
,,,,,,,,,,3.94,4.69,4.18,,,23.96
,,,,,,,,,,3.94,4.83,4.18,,,24.29
,,,,,,,,,,3.94,4.83,4.18,,,24.80
,,,,,,,,,,3.94,4.83,4.22,,,32.42
,,,,,,,,,,3.94,4.83,4.22,,,33.53
,,,,,,,,,,4.11,4.83,4.30,,,36.95
,,,,,,,,,,4.11,4.83,4.30,,,38.60
,,,,,,,,,,4.11,4.83,4.30,,,38.78
,,,,,,,,,,4.11,4.83,4.30,,,42.00
,,,,,,,,,,4.11,4.96,4.34,,,62.22
,,,,,,,,,,4.11,4.96,4.34,,,105.22
,,,,,,,,,,4.11,4.96,4.34,,,
,,,,,,,,,,4.11,4.96,4.37,,,
,,,,,,,,,,4.11,5.09,4.41,,,
,,,,,,,,,,4.11,5.22,4.41,,,
,,,,,,,,,,4.11,5.22,4.41,,,
,,,,,,,,,,4.11,5.22,4.45,,,
,,,,,,,,,,4.26,5.34,4.45,,,
,,,,,,,,,,4.26,5.34,4.48,,,
,,,,,,,,,,4.26,5.69,4.48,,,
,,,,,,,,,,4.26,5.81,4.52,,,
,,,,,,,,,,4.26,5.92,4.52,,,
,,,,,,,,,,4.26,6.03,4.59,,,
,,,,,,,,,,4.26,6.03,4.59,,,
,,,,,,,,,,4.26,6.13,4.59,,,
,,,,,,,,,,4.26,6.24,4.59,,,
,,,,,,,,,,4.26,6.24,4.63,,,
,,,,,,,,,,4.26,6.24,4.63,,,
,,,,,,,,,,4.26,6.34,4.63,,,
,,,,,,,,,,4.26,6.34,4.66,,,
,,,,,,,,,,4.41,6.44,4.66,,,
,,,,,,,,,,4.41,6.44,4.66,,,
,,,,,,,,,,4.41,6.54,4.69,,,
,,,,,,,,,,4.41,6.54,4.73,,,
,,,,,,,,,,4.41,6.54,4.76,,,
,,,,,,,,,,4.41,6.54,4.80,,,
,,,,,,,,,,4.41,6.83,4.83,,,
,,,,,,,,,,4.41,6.83,4.93,,,
,,,,,,,,,,4.55,6.83,4.93,,,
,,,,,,,,,,4.55,7.02,4.93,,,
,,,,,,,,,,4.55,7.02,4.93,,,
,,,,,,,,,,4.55,7.11,4.96,,,
,,,,,,,,,,4.55,7.11,4.96,,,
,,,,,,,,,,4.55,7.29,5.00,,,
,,,,,,,,,,4.55,7.47,5.03,,,
,,,,,,,,,,4.55,7.55,5.03,,,
,,,,,,,,,,4.55,7.55,5.12,,,
,,,,,,,,,,4.55,7.64,5.16,,,
,,,,,,,,,,4.55,7.72,5.19,,,
,,,,,,,,,,4.69,7.72,5.19,,,
,,,,,,,,,,4.69,7.89,5.28,,,
,,,,,,,,,,4.69,8.21,5.28,,,
,,,,,,,,,,4.69,8.37,5.28,,,
,,,,,,,,,,4.69,8.44,5.34,,,
,,,,,,,,,,4.83,8.60,5.40,,,
,,,,,,,,,,4.83,8.60,5.40,,,
,,,,,,,,,,4.83,8.67,5.49,,,
,,,,,,,,,,4.83,8.89,5.52,,,
,,,,,,,,,,4.96,9.32,5.52,,,
,,,,,,,,,,4.96,9.39,5.55,,,
,,,,,,,,,,4.96,9.53,5.61,,,
,,,,,,,,,,4.96,9.99,5.75,,,
,,,,,,,,,,4.96,10.12,5.78,,,
,,,,,,,,,,4.96,10.74,5.86,,,
,,,,,,,,,,4.96,12.42,5.86,,,
,,,,,,,,,,4.96,12.52,5.92,,,
,,,,,,,,,,4.96,12.68,5.97,,,
,,,,,,,,,,5.09,12.83,5.97,,,
,,,,,,,,,,5.09,13.03,6.00,,,
,,,,,,,,,,5.09,13.18,6.00,,,
,,,,,,,,,,5.09,13.42,6.05,,,
,,,,,,,,,,5.09,13.57,6.05,,,
,,,,,,,,,,5.09,16.14,6.05,,,
,,,,,,,,,,5.09,16.70,6.08,,,
,,,,,,,,,,5.09,17.12,6.18,,,
,,,,,,,,,,5.22,19.66,6.18,,,
,,,,,,,,,,5.22,19.95,6.29,,,
,,,,,,,,,,5.22,22.28,6.31,,,
,,,,,,,,,,5.22,25.51,6.37,,,
,,,,,,,,,,5.22,37.14,6.39,,,
,,,,,,,,,,5.22,,6.39,,,
,,,,,,,,,,5.34,,6.47,,,
,,,,,,,,,,5.34,,6.49,,,
,,,,,,,,,,5.34,,6.74,,,
,,,,,,,,,,5.46,,6.76,,,
,,,,,,,,,,5.46,,6.76,,,
,,,,,,,,,,5.58,,6.81,,,
,,,,,,,,,,5.58,,6.86,,,
,,,,,,,,,,5.58,,6.95,,,
,,,,,,,,,,5.58,,6.97,,,
,,,,,,,,,,5.69,,7.00,,,
,,,,,,,,,,5.69,,7.09,,,
,,,,,,,,,,5.69,,7.22,,,
,,,,,,,,,,5.69,,7.25,,,
,,,,,,,,,,5.69,,7.31,,,
,,,,,,,,,,5.81,,7.42,,,
,,,,,,,,,,5.81,,7.47,,,
,,,,,,,,,,5.81,,7.57,,,
,,,,,,,,,,5.81,,7.68,,,
,,,,,,,,,,5.92,,7.72,,,
,,,,,,,,,,5.92,,7.72,,,
,,,,,,,,,,6.03,,7.85,,,
,,,,,,,,,,6.03,,7.91,,,
,,,,,,,,,,6.03,,7.99,,,
,,,,,,,,,,6.13,,8.05,,,
,,,,,,,,,,6.13,,8.25,,,
,,,,,,,,,,6.24,,8.25,,,
,,,,,,,,,,6.24,,8.44,,,
,,,,,,,,,,6.24,,8.44,,,
,,,,,,,,,,6.34,,8.50,,,
,,,,,,,,,,6.34,,8.54,,,
,,,,,,,,,,6.34,,8.67,,,
,,,,,,,,,,6.34,,8.76,,,
,,,,,,,,,,6.44,,8.80,,,
,,,,,,,,,,6.44,,8.82,,,
,,,,,,,,,,6.54,,9.06,,,
,,,,,,,,,,6.64,,9.29,,,
,,,,,,,,,,6.64,,9.34,,,
,,,,,,,,,,6.64,,9.48,,,
,,,,,,,,,,6.64,,9.66,,,
,,,,,,,,,,6.64,,9.71,,,
,,,,,,,,,,6.64,,10.25,,,
,,,,,,,,,,6.74,,10.47,,,
,,,,,,,,,,6.74,,10.51,,,
,,,,,,,,,,6.74,,10.57,,,
,,,,,,,,,,6.83,,10.80,,,
,,,,,,,,,,6.83,,10.83,,,
,,,,,,,,,,6.83,,10.97,,,
,,,,,,,,,,7.20,,11.05,,,
,,,,,,,,,,7.20,,11.07,,,
,,,,,,,,,,7.20,,11.24,,,
,,,,,,,,,,7.29,,11.31,,,
,,,,,,,,,,7.29,,11.39,,,
,,,,,,,,,,7.72,,11.81,,,
,,,,,,,,,,7.81,,12.26,,,
,,,,,,,,,,8.05,,12.30,,,
,,,,,,,,,,8.21,,13.16,,,
,,,,,,,,,,8.44,,13.16,,,
,,,,,,,,,,8.52,,13.17,,,
,,,,,,,,,,8.75,,13.47,,,
,,,,,,,,,,8.89,,13.51,,,
,,,,,,,,,,8.97,,14.20,,,
,,,,,,,,,,9.25,,14.21,,,
,,,,,,,,,,9.59,,14.28,,,
,,,,,,,,,,9.66,,14.49,,,
,,,,,,,,,,9.73,,14.91,,,
,,,,,,,,,,9.93,,15.26,,,
,,,,,,,,,,10.56,,15.94,,,
,,,,,,,,,,10.62,,16.51,,,
,,,,,,,,,,10.74,,16.85,,,
,,,,,,,,,,10.74,,17.74,,,
,,,,,,,,,,11.33,,17.80,,,
,,,,,,,,,,12.32,,18.82,,,
,,,,,,,,,,12.58,,20.88,,,
,,,,,,,,,,13.13,,23.96,,,
,,,,,,,,,,16.50,,24.29,,,
,,,,,,,,,,19.26,,24.80,,,
,,,,,,,,,,23.36,,32.42,,,
,,,,,,,,,,29.12,,33.53,,,
,,,,,,,,,,,,36.95,,,
,,,,,,,,,,,,38.60,,,
,,,,,,,,,,,,38.78,,,
,,,,,,,,,,,,42.00,,,
,,,,,,,,,,,,62.22,,,
,,,,,,,,,,,,105.22,,,
